Referee_ID,Name,Nationality
ALG_1,LACARNE Belaid,ALG
ALG_2,HANSAL Mohamed,ALG
ALG_3,HAIMOUDI Djamel,ALG
ALG_4,ETCHIALI Abdelhak,ALG
ANG_1,MANUEL CANDIDO Inacio,ANG
ARG_1,MACIAS Jose,ARG
ARG_10,LOUSTAU Juan,ARG
ARG_11,LAMOLINA Francisco Oscar,ARG
ARG_12,TAIBI Ernesto,ARG
ARG_13,CASTRILLI Javier,ARG
ARG_14,ROSSI Claudio,ARG
ARG_15,RATTALINO Jorge,ARG
ARG_16,SANCHEZ Angel,ARG
ARG_17,GARCIA Dario,ARG
ARG_18,ELIZONDO Horacio,ARG
ARG_19,OTERO Rodolfo,ARG
ARG_2,BROZZI Juan,ARG
ARG_20,CASAS Ricardo,ARG
ARG_21,BALDASSI Hector,ARG
ARG_22,BELATTI Juan Pablo,ARG
ARG_23,PITANA Nestor,ARG
ARG_24,MAIDANA Hernan,ARG
ARG_3,VENTRE Luis Antonio,ARG
ARG_4,GOICOECHEA Roberto,ARG
ARG_5,COEREZZA Norberto Angel,ARG
ARG_6,PESTARINO Luis,ARG
ARG_7,COMESANA Miguel,ARG
ARG_8,ITHURRALDE Arturo Andres,ARG
ARG_9,ESPOSITO Carlos,ARG
ATG_1,CHARLES Curtis,ATG
AUS_1,BOSKOVIC Tony,AUS
AUS_10,ANAZ Hakan,AUS
AUS_11,Ben WILLIAMS,AUS
AUS_12,CREAM Matthew,AUS
AUS_2,BAMBRIDGE Christopher,AUS
AUS_3,LORENC Richard,AUS
AUS_4,BRAZZALE Eugene,AUS
AUS_5,DUNSTER Gordon,AUS
AUS_6,LENNIE Edward,AUS
AUS_7,SHIELD Mark,AUS
AUS_8,WILSON Ben,AUS
AUS_9,GIBSON Nathan,AUS
AUT_1,BERANEK Alois,AUT
AUT_10,KOHL Helmut,AUT
AUT_11,BENKO Gunter,AUT
AUT_12,BEREUTER Egon,AUT
AUT_2,BRAUN Eugen,AUT
AUT_3,WEINGARTNER Karl,AUT
AUT_4,STEINER Carl,AUT
AUT_5,SEIPELT Fritz,AUT
AUT_6,MARSCHALL Ferdinand,AUT
AUT_7,LINEMAYR Erich,AUT
AUT_8,WOEHRER Franz,AUT
AUT_9,BRUMMEIER Horst,AUT
BAH_1,AL GHATTAN Yousif Abdulla,BAH
BDI_1,BIRUMUSHAHU Jean Claude,BDI
BEL_1,LANGENUS Jean,BEL
BEL_10,VAN LANGENHOVE Marcel,BEL
BEL_11,MATTHYS Luc,BEL
BEL_12,VAN DEN BROECK Marc,BEL
BEL_13,VAN NYLEN Roland,BEL
BEL_14,DE BLEECKERE Frank,BEL
BEL_15,HERMANS Peter,BEL
BEL_16,VROMANS Walter,BEL
BEL_2,CRISTOPHE Henry,BEL
BEL_3,BAERT Louis,BEL
BEL_4,FRANKEN Laurent,BEL
BEL_5,VAN NUFFEL Lucien,BEL
BEL_6,BLAVIER Arthur,BEL
BEL_7,LORAUX Vital,BEL
BEL_8,RION Francis,BEL
BEL_9,PONNET Alexis,BEL
BEN_1,CODJIA Coffi,BEN
BEN_2,ADERODJOU Aboudou,BEN
BER_1,DUNSTAN Keith,BER
BHR_1,AL DOY Ebrahim,BHR
BHR_2,MANDI Jassim,BHR
BHR_3,SHUKRALLA Nawaf,BHR
BHR_4,TULEFAT Yaser,BHR
BHR_5,SALEH Ebrahim,BHR
BLR_1,DUPANOV Yuri,BLR
BOL_1,SAUCEDO Ulises,BOL
BOL_2,ALVAREZ Alfredo,BOL
BOL_3,BARRANCOS Luis,BOL
BOL_4,ORTUBE Rene,BOL
BRA_1,REGO Gilberto,BRA
BRA_10,RAMIZ WRIGHT Jose,BRA
BRA_11,ALVES Paulo Jorge,BRA
BRA_12,MARSIGLIA Renato,BRA
BRA_13,PINTO Arnaldo,BRA
BRA_14,REZENDE Marcio,BRA
BRA_15,SIMON Carlos,BRA
BRA_16,OLIVEIRA Jorge,BRA
BRA_17,TAVARES Aristeu,BRA
BRA_18,CORONA Ednilson,BRA
BRA_19,BRAATZ Roberto,BRA
BRA_2,VIANA Mario,BRA
BRA_20,HAUSMANN Altemir,BRA
BRA_21,DE CARVALHO Emerson,BRA
BRA_22,RICCI Sandro,BRA
BRA_23,VAN GASSE Marcelo,BRA
BRA_3,MALCHER Alberto,BRA
BRA_4,GARDELLI Mario,BRA
BRA_5,ETZEL FILHO Joao,BRA
BRA_6,MARQUES Armando,BRA
BRA_7,DE MORAES Ayrton Vieira,BRA
BRA_8,COELHO Arnaldo,BRA
BRA_9,ARPPI FILHO Romualdo,BRA
BUL_1,RUMENTCHEV Dimitar,BUL
BUL_2,DOTCHEV Bogdan,BUL
CAN_1,MORGAN Raymond,CAN
CAN_2,WINSEMANN Werner,CAN
CAN_3,VERGARA Hector,CAN
CAN_4,FLETCHER Joe,CAN
CHI_1,WARNKEN Alberto,CHI
CHI_10,HORMAZABAL DIAZ Rafael,CHI
CHI_11,SILVAGNO CAVANNA Juan,CHI
CHI_12,CASTRO Gaston,CHI
CHI_13,SILVA ARCE Hernan,CHI
CHI_14,SANCHEZ YANTEN Mario,CHI
CHI_15,DIAZ GALVEZ Jorge,CHI
CHI_16,POZO Pablo,CHI
CHI_17,MONDRIA Francisco,CHI
CHI_18,BASUALTO Patricio,CHI
CHI_19,OSSES Enrique,CHI
CHI_2,BUSTAMANTE Sergio,CHI
CHI_20,ASTROZA Carlos,CHI
CHI_21,ROMAN Sergio,CHI
CHI_3,MASSARO Artur,CHI
CHI_4,ROBLES Carlos,CHI
CHI_5,REGINATO Adolfe Molina,CHI
CHI_6,VICUNA Claudio,CHI
CHI_7,BULNES R.,CHI
CHI_8,SILVA Jose Antonio,CHI
CHI_9,SILVA Luis,CHI
CHN_1,JUN Lu,CHN
CHN_2,LU Jun,CHN
CIV_1,Noumandiez DOUE,CIV
CIV_2,YEO Songuifolo,CIV
CMR_1,MENKOUANDE Evarist,CMR
COL_1,SUNDHEIM Jose Antonio,COL
COL_10,RUIZ Oscar,COL
COL_11,NAVIA Jose,COL
COL_12,GONZALEZ Abraham,COL
COL_13,ROLDAN Wilmar,COL
COL_14,DIAZ Eduardo,COL
COL_15,CLAVIJO Humberto,COL
COL_2,VELASQUEZ Guillermo,COL
COL_3,DELGADO Omar,COL
COL_4,ARISTIZABAL MURCIA Gilberto,COL
COL_5,DIAZ PALACIO Jesus,COL
COL_6,PEREZ HOYOS Armando,COL
COL_7,TORRES CADENA Jose Joaquin,COL
COL_8,TORO RENDON John,COL
COL_9,ARANGO Jorge Luis,COL
CRC_1,SILES Jesus Paulino,CRC
CRC_2,ULLOA MORERA Berny,CRC
CRC_3,BADILLA Rodrigo,CRC
CRC_4,TORRES ZUNIGA Luis,CRC
CRC_5,MATTUS William,CRC
CRC_6,LEAL Leonel,CRC
CRO_1,MATOVINOVIC Damir,CRO
CUW_1,VAN ROSBERG Walter Jose,CUW
CZE_1,AMLER Evzen,CZE
DEN_1,HELGE Leo,DEN
DEN_2,JORGENSEN Carl Frederik,DEN
DEN_3,LUND-SORENSEN Henning,DEN
DEN_4,MIKKELSEN Peter,DEN
DEN_5,CHRISTENSEN Carl-Johan Meyer,DEN
DEN_6,NIELSEN Kim Milton,DEN
DEN_7,LARSEN Jens,DEN
ECU_1,JACOME GUERRERO Elias V.,ECU
ECU_2,MORENO Byron,ECU
ECU_3,FIERRO Bomer,ECU
ECU_4,TAMAYO Fernando,ECU
ECU_5,ROMERO Byron,ECU
ECU_6,VERA Carlos,ECU
ECU_7,LESCANO Christian,ECU
EGY_1,MOHAMED Youssuf,EGY
EGY_2,KANDIL Aly Hussein,EGY
EGY_3,KAMEL Mahmoud,EGY
EGY_4,HASSAN Abdel-Magid,EGY
EGY_5,EL GHANDOUR Gamal,EGY
EGY_6,FARAG Wagih,EGY
EGY_7,ABD EL FATAH Essam,EGY
ENG_1,READER George,ENG
ENG_10,DAGNALL Kenneth,ENG
ENG_11,TAYLOR John,ENG
ENG_12,PARTRIDGE Pat,ENG
ENG_13,WHITE Clive,ENG
ENG_14,COURTNEY George,ENG
ENG_15,DON Philip,ENG
ENG_16,PEARSON Roy,ENG
ENG_17,DURKIN Paul,ENG
ENG_18,WARREN Mark,ENG
ENG_19,POLL Graham,ENG
ENG_2,LEAFE Reginald,ENG
ENG_20,SHARP Philip,ENG
ENG_21,TURNER Glenn,ENG
ENG_22,WEBB Howard,ENG
ENG_23,Darren CANN,ENG
ENG_24,MULLARKEY Michael,ENG
ENG_3,ELLIS Arthur,ENG
ENG_4,LING William,ENG
ENG_5,ASTON Ken,ENG
ENG_6,FINNEY Jim,ENG
ENG_7,McCABE George,ENG
ENG_8,HOWLEY Kevin,ENG
ENG_9,CLEMENTS William,ENG
ERI_1,GEBREYESUS DIFUE Tesfaye,ERI
ESP_1,ESCARTIN Pedro,ESP
ESP_10,SANCHEZ ARMINIO Victoriano,ESP
ESP_11,SORIANO ALADREN Emilio,ESP
ESP_12,DIAZ VEGA Manuel,ESP
ESP_13,TRESACO GRACIA Fernando,ESP
ESP_14,GARCIA ARANDA Jose Maria,ESP
ESP_15,LOPEZ NIETO Antonio,ESP
ESP_16,GIRALDEZ CARRASCO Victoriano,ESP
ESP_17,MEDINA CANTALEJO Luis,ESP
ESP_18,MEDINA HERNANDEZ Pedro,ESP
ESP_19,MARTINEZ Fermin,ESP
ESP_2,AZON ROMA Ramon,ESP
ESP_20,YUSTE Juan,ESP
ESP_21,Alberto UNDIANO MALLENCO,ESP
ESP_22,ALONSO FERNANDEZ Roberto,ESP
ESP_23,Carlos VELASCO CARBALLO,ESP
ESP_3,ASENSI Manuel,ESP
ESP_4,GARDEAZABAL Juan,ESP
ESP_5,ORTIZ DE MENDIBIL Jose Maria,ESP
ESP_6,SANCHEZ IBANEZ Pablo,ESP
ESP_7,MARTINEZ Angel,ESP
ESP_8,LAMO CASTILLO Augusto,ESP
ESP_9,GARCIA CARRION Jose L.,ESP
ETH_1,TAREKEGN Seyoum,ETH
FIN_1,ERIKSSON Arne,FIN
FIN_2,YLI-KARRO Tapio,FIN
FRA_1,BALWAY Thomas,FRA
FRA_10,SDEZ Victor,FRA
FRA_11,KISSENBERGER Ernest,FRA
FRA_12,CAPDEVILLE Pierre,FRA
FRA_13,LECLERCQ Lucien,FRA
FRA_14,MERKCX Jean,FRA
FRA_15,BOUTOURE D.,FRA
FRA_16,TREHOU D.,FRA
FRA_17,VINCENTI Raymond,FRA
FRA_18,GUIGUE Maurice,FRA
FRA_19,SCHWINTE Pierre,FRA
FRA_2,BAERT Jacques,FRA
FRA_20,MACHIN Roger,FRA
FRA_21,WURTZ Robert,FRA
FRA_22,VAUTROT Michel,FRA
FRA_23,QUINIOU Joel,FRA
FRA_24,BATTA Marc,FRA
FRA_25,POUDEVIGNE Jacques,FRA
FRA_26,VEISSIERE Gilles,FRA
FRA_27,ARNAULT Frederic,FRA
FRA_28,DAGORNE Lionel,FRA
FRA_29,TEXIER Vincent,FRA
FRA_3,VALPREDE Ferdinand,FRA
FRA_30,POULAT Eric,FRA
FRA_31,St10N Alberto uis,FRA
FRA_32,DANSAULT Eric,FRA
FRA_33,UGO Laurent,FRA
FRA_34,Stephane LANNOY,FRA
FRA_4,MARENCO Paul,FRA
FRA_5,CONRIE Roger,FRA
FRA_6,POISSANT Louis,FRA
FRA_7,DE LA SALLE Charles,FRA
FRA_8,CAPDEVILLE Georges,FRA
FRA_9,OLIVE D.,FRA
FRG_1,SCHMETZER Emil,FRG
FRG_2,WEYLAND Hans Joachim,FRG
GAB_1,DIRAMBA Jean Fidele,GAB
GAM_1,Bakary GASSAMA,GAM
GDR_1,GLOECKNER Rudolf,GDR
GDR_2,PROKOP Adolf,GDR
GER_1,BIRLEM Alfred,GER
GER_10,ROTH Volker,GER
GER_11,KIRSCHEN Siegfried,GER
GER_12,SCHMIDHUBER Aron,GER
GER_13,KRUG Hellmut,GER
GER_14,SCHNEIDER Erich,GER
GER_15,HEYNEMANN Bernd,GER
GER_16,MERK Markus,GER
GER_17,MUELLER Heiner,GER
GER_18,SCHRAER Christian,GER
GER_19,SALVER Jan-Hendrik,GER
GER_2,DUSCH Albert,GER
GER_20,PICKEL Mike,GER
GER_21,Wolfgang STARK,GER
GER_22,BORSCH Mark,GER
GER_23,BRYCH Felix,GER
GER_24,LUPP Stefan,GER
GER_3,TSCHENSCHER Kurt,GER
GER_4,KREITLEIN Rudolf,GER
GER_5,OHMSEN Klaus,GER
GER_6,ALDINGER Heinz,GER
GER_7,SCHULENBURG Gerhard,GER
GER_8,BIWERSI Ferdinand,GER
GER_9,ESCHWEILER Walter,GER
GHA_1,DWOMOH Benjamin,GHA
GRE_1,VASSARAS Kyros,GRE
GUA_1,MENDEZ MOLINA Romulo,GUA
GUA_2,BATRES Carlos,GUA
HKG_1,CHAN Thomson Tam Sun,HKG
HON_1,CALIX GARCIA Raimundo,HON
HON_2,SALINAS Reynaldo,HON
HON_3,PASTRANA Carlos,HON
HUN_1,IVANCSICS Mihaly,HUN
HUN_10,VAGNER Laszlo,HUN
HUN_11,SZEKELY Ferenc,HUN
HUN_12,KASSAI Viktor,HUN
HUN_13,EROS Gabor,HUN
HUN_14,VAMOS Tibor,HUN
HUN_2,VON HERTZKA Pal,HUN
HUN_3,ZSOLT Istvan,HUN
HUN_4,DOROGI Andor,HUN
HUN_5,EMSBERGER Gyula,HUN
HUN_6,PALOTAI Karoly,HUN
HUN_7,NEMETH Lajos,HUN
HUN_8,PUHL Sandor,HUN
HUN_9,MARTON Sandor,HUN
IND_1,KOMALEESWARAN Sankar,IND
IRL_1,FOLEY Eddie,IRL
IRN_1,NAMDAR Jafar,IRN
IRN_2,FANAEI Mohammad,IRN
IRN_3,KAMRANIFAR Hassan,IRN
ISR_1,ASHKENAZI Menachem,ISR
ISR_2,KLEIN Abraham,ISR
